"","hex_4000km","ki_num","assessed_num","food_price_changed_prices_increased","education_bar_cost_stud","access_healthservices_no","health_workers_available_yes","protection_incidents_none_no","dam_shelter_yes","handwashing_access_no","sources_covid_informaiton_mobile_network_operator_yes"
"1","AA-51",10,4,0.75,0.25,0.25,0.25,0.25,0,0.25,1
"2","AB-49",7,3,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667
"3","AB-50",4,2,1,0.5,0.5,0,0.5,0,0.5,1
"4","AB-51",14,7,0.857142857142857,0.714285714285714,0.571428571428571,0,0.571428571428571,0,0.571428571428571,0.857142857142857
"5","AC-51",3,1,0,1,0,0,1,0,0,0
"6","G-44",3,1,1,1,1,0,1,0,1,1
"7","I-43",2,1,1,0,0,0,0,0,0,1
"8","J-51",2,1,1,0,0,0,0,0,0,1
"9","L-50",4,1,1,1,0,0,1,0,0,0
"10","M-49",11,3,0.666666666666667,0.666666666666667,0.666666666666667,0,0.666666666666667,0,0.333333333333333,0.666666666666667
"11","M-50",6,3,0.666666666666667,0.666666666666667,0.333333333333333,0,0.333333333333333,0,0.666666666666667,1
"12","N-41",2,1,1,1,1,0,1,0,1,1
"13","N-43",2,1,1,1,1,0,1,0,1,1
"14","N-46",3,1,0,1,1,0,0,0,0,0
"15","N-47",2,1,1,0,0,0,0,0,0,1
"16","N-48",10,4,0.75,0.5,0.25,0.5,0.5,0,0.75,1
"17","N-49",2,1,1,0,0,0,0,0,1,1
"18","N-50",3,1,0,1,0,0,1,0,0,1
"19","O-42",2,1,0,0,1,0,1,0,0,0
"20","O-43",3,1,1,0,0,1,0,0,1,1
"21","O-46",8,2,0,0.5,1,0,0,0,0,0
"22","O-47",12,3,0.666666666666667,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0.666666666666667,0.666666666666667
"23","O-48",3,1,0,1,0,0,1,0,0,0
"24","O-49",4,2,0.5,0.5,1,0,0.5,0,0.5,1
"25","P-45",2,1,1,0,0,1,0,0,1,1
"26","P-47",29,8,0.75,0.875,0.75,0.125,0.5,0,0.625,0.875
"27","P-48",20,6,0.833333333333333,0.833333333333333,0.666666666666667,0.166666666666667,0.5,0,0.5,0.833333333333333
"28","P-49",6,2,0,0,0,0,0.5,0,0,0
"29","Q-46",5,1,0,1,1,0,1,0,0,0
"30","R-43",4,2,1,0.5,0.5,0,0.5,0,1,1
"31","R-45",3,1,1,1,1,0,1,0,0,1
"32","R-46",5,1,1,1,1,0,1,0,0,1
"33","R-48",3,1,1,1,1,0,1,0,1,1
"34","R-49",5,2,0.5,1,0.5,0,1,0,0,1
"35","R-59",2,1,1,0,0,0,0,0,0,1
"36","S-43",3,1,1,0,1,0,1,0,1,1
"37","S-48",5,2,0.5,0,0.5,0.5,0.5,0,0.5,0.5
"38","S-49",4,2,1,0,0,0.5,0,0,1,1
"39","S-55",5,2,1,0.5,0.5,0.5,0.5,0,0.5,1
"40","T-48",4,2,1,0,0,0.5,0,0,1,1
"41","T-49",2,1,0,1,0,0,1,0,0,0
"42","T-50",2,1,1,0,0,0,0,0,0,1
"43","U-55",8,3,0.666666666666667,0.666666666666667,0.666666666666667,0,0.333333333333333,0,1,1
"44","V-43",2,1,0,1,1,0,1,0,0,0
"45","V-55",23,8,0.875,0.5,0.625,0.25,0.5,0,0.625,1
"46","W-43",2,1,1,0,0,0,0,0,0,1
"47","W-50",3,1,0,1,1,0,1,0,0,1
"48","W-52",4,2,1,0.5,1,0,0.5,0,1,1
"49","W-54",21,9,0.777777777777778,0.222222222222222,0.444444444444444,0,0.666666666666667,0.111111111111111,0.111111111111111,0.777777777777778
"50","W-55",6,3,0.333333333333333,1,0.666666666666667,0,0.666666666666667,0,0.333333333333333,0.333333333333333
"51","X-51",2,1,1,1,1,0,1,0,1,1
"52","X-52",5,2,1,0,0,0.5,0,0,1,1
"53","X-53",2,1,1,1,1,0,1,0,0,1
"54","X-54",3,1,0,1,1,0,1,0,0,1
"55","X-55",2,1,1,0,0,0,0,0,1,1
"56","Y-51",3,1,0,1,1,0,1,0,0,0
"57","Y-53",2,1,0,1,1,0,0,0,0,0
"58","Z-52",2,1,1,0,1,0,0,0,1,1
